SEASON ,JUL ,AUG ,SEP ,OCT ,NOV ,DEC ,JAN ,FEB ,MAR ,APR ,MAY ,JUN ,TOTAL 
1869-70 ,0,0,0,0,0,5.3,1.1,9.3,9.6,2.5,0,0,27.8
1870-71 ,0,0,0,0,0,3,15.9,12.1,0.1,2,0,0,33.1
1871-72 ,0,0,0,0,0.3,3.9,1.8,3,5.1,T ,0,0,14.1
1872-73 ,0,0,0,0,3.5,27,10.6,18.8,0.4,0,0,0,60.3
1873-74 ,0,0,0,0,2,9.3,6.6,19,T ,0,0,0,36.9
1874-75 ,0,0,0,0,0,10,14.5,4.5,15.3,13.5,0,0,57.8
1875-76 ,0,0,0,0,0,0.5,1.5,12.5,3.8,0,0,0,18.3
1876-77 ,0,0,0,0.5,0.1,12.4,20.5,0.4,6.5,0,0,0,40.4
1877-78 ,0,0,0,0,0,0,6.1,2,0,0,0,0,8.1
1878-79 ,0,0,0,0,0.1,5.5,17.3,11.3,1.5,0,0,0,35.7
1879-80 ,0,0,0,0,2.5,5.4,2.5,4,8.3,0,0,0,22.7
1880-81 ,0,0,0,0,1.4,11.5,11.5,8.8,2.3,0,0,0,35.5
1881-82 ,0,0,0,0,T ,1.3,17.5,9.3,2.8,0.5,0,0,31.4
1882-83 ,0,0,0,0,14,T ,9.4,10.1,10,0.5,0,0,44
1883-84 ,0,0,0,0,0,22.5,10.3,8,2.3,0,0,0,43.1
1884-85 ,0,0,0,0,0.4,10.6,4.6,14.5,4.1,T ,0,0,34.2
1885-86 ,0,0,0,0,0,T ,13.5,5.3,1,1,0,0,20.8
1886-87 ,0,0,0,0,T ,10.3,6.6,9,2,5,0,0,32.9
1887-88 ,0,0,0,0,0.3,9,11,3,22.3,0,0,0,45.6
1888-89 ,0,0,0,0,1.5,T ,4,7,4,0,0,0,16.5
1889-90 ,0,0,0,0,0,6,0,1,17,0.3,0,0,24.3
1890-91 ,0,0,0,0,0,11.4,10,5.3,2.1,T ,0,0,28.8
1891-92 ,0,0,0,0,0,T ,12.3,0.1,12,1,0,0,25.4
1892-93 ,0,0,0,0,6.3,3,16,17.8,6.1,0.5,0,0,49.7
1893-94 ,0,0,0,0,0,5.3,9.3,20.5,0,1,0,0,36.1
1894-95 ,0,0,0,0,0.5,4,9.5,9,4,T ,0,0,27
1895-96 ,0,0,0,0,0,0.3,3,9.5,30.5,3,0,0,46.3
1896-97 ,0,0,0,0,5,13,11.3,11,3.3,0,0,0,43.6
1897-98 ,0,0,0,0,2.3,4,9,1.3,2,2.5,0,0,21.1
1898-99 ,0,0,0,0,19,1.5,5.3,25.3,4.8,0,0,0,55.9
1899-00 ,0,0,0,0,T ,0.1,1,6.5,5.8,0,0,0,13.4
1900-01 ,0,0,0,0,0,0.1,2,7,T ,0,0,0,9.1
1901-02 ,0,0,0,0,0.1,1.5,6.1,15.8,6.5,0,0,0,30
1902-03 ,0,0,0,0,0,14.4,4.5,9.8,0,0,0,0,28.7
1903-04 ,0,0,0,0,0,6.3,15.6,5,5.4,T ,0,0,32.3
1904-05 ,0,0,0,0,0.5,21.6,18.4,5.8,1.8,0,0,0,48.1
1905-06 ,0,0,0,0,0,1,1.5,6,11.5,0,0,0,20
1906-07 ,0,0,0,0,1,0.3,11,21.8,13.3,5.8,0,0,53.2
1907-08 ,0,0,0,0,T ,5.3,10,14.6,3.5,0,0,0,33.4
1908-09 ,0,0,0,0,1,2.9,11.3,0.8,4.3,T ,0,0,20.3
1909-10 ,0,0,0,0,0.8,9,11.1,5,1.3,0,0,0,27.2
1910-11 ,0,0,0,0,T ,6.6,1.3,13.3,3.5,0.5,0,0,25.2
1911-12 ,0,0,0,0,1,8.5,13,2.5,4.5,T ,0,0,29.5
1912-13 ,0,0,0,0,0.8,11.4,0.3,2.6,0.2,T ,0,0,15.3
1913-14 ,0,0,0,0,T ,0.3,1.3,17.4,21.5,T ,0,0,40.5
1914-15 ,0,0,0,0,0,2.6,3.8,4.5,7.7,10.2,0,0,28.8
1915-16 ,0,0,0,0,T ,8.1,0.7,13.1,25.5,3.3,0,0,50.7
1916-17 ,0,0,0,0,T ,14.5,5.8,12.2,11.7,6.5,0,0,50.7
1917-18 ,0,0,0,0,0.3,14.1,13.2,3.7,0.6,2.6,0,0,34.5
1918-19 ,0,0,0,0,0,0.3,0.3,0.5,2.7,T ,0,0,3.8
1919-20 ,0,0,0,0,T ,8.8,8.2,25.3,5.3,T ,0,0,47.6
1920-21 ,0,0,0,0,T ,1.7,3.5,13.3,T ,0.1,0,0,18.6
1921-22 ,0,0,0,0,T ,7.3,9.4,7.2,3.9,0,0,0,27.8
1922-23 ,0,0,0,0,1,8,24.5,18.8,8.1,T ,0,0,60.4
1923-24 ,0,0,0,0,0,1.5,2.5,11.9,3.1,8.5,0,0,27.5
1924-25 ,0,0,0,0,T ,0.9,27.4,1.3,T ,T ,0,0,29.6
1925-26 ,0,0,0,0.8,0.1,0.9,3.1,26.3,1.2,T ,0,0,32.4
1926-27 ,0,0,0,T ,T ,11.7,5.7,4.6,0.2,0.1,0,0,22.3
1927-28 ,0,0,0,0,T ,2.1,2.7,4,5.7,T ,0,0,14.5
1928-29 ,0,0,0,T ,T ,2,2.3,9.3,0.2,T ,0,0,13.8
1929-30 ,0,0,0,T ,T ,6.3,3.5,3.8,T ,T ,0,0,13.6
1930-31 ,0,0,0,0,T ,5.7,0.5,3.6,1.8,T ,0,0,11.6
1931-32 ,0,0,0,0,2,0.1,0.8,1.8,0.6,T ,0,0,5.3
1932-33 ,0,0,0,0,0,9.4,T ,12.8,4.8,T ,0,0,27
1933-34 ,0,0,0,0,0.5,14.9,0.1,27.9,8.6,0,0,0,52
1934-35 ,0,0,0,T ,T ,1,23.6,7.2,2,T ,0,0,33.8
1935-36 ,0,0,0,0,2.7,6.6,12.1,10.3,1.5,T ,0,0,33.2
1936-37 ,0,0,0,T ,3.2,T ,6.5,3.4,2.5,T ,0,0,15.6
1937-38 ,0,0,0,T ,0.8,0.7,6.5,T ,0.7,6.4,0,0,15.1
1938-39 ,0,0,0,0,12.8,1.7,10.3,5.5,7,T ,0,0,37.3
1939-40 ,0,0,0,0,T ,3.1,3.5,12,5.3,1.8,0,0,25.7
1940-41 ,0,0,0,T ,2.2,3,9.2,5.4,19.2,0,0,0,39
1941-42 ,0,0,0,0,0,0.3,6.4,1.9,0.5,2.2,0,0,11.3
1942-43 ,0,0,0,0,T ,8.5,9.5,4.4,7.1,T ,0,0,29.5
1943-44 ,0,0,0,0,T ,T ,4.8,7.7,4.8,6.5,0,0,23.8
1944-45 ,0,0,0,T ,T ,6.7,12.3,8.1,T ,0,0,0,27.1
1945-46 ,0,0,0,0,3.7,15.6,4.2,7.9,T ,T ,T ,0,31.4
1946-47 ,0,0,0,0,0,1.3,5.5,17.7,6.1,T ,0,0,30.6
1947-48 ,0,0,0,0,T ,29.6,15.3,13.6,4.7,0,0,0,63.2
1948-49 ,0,0,0,0,T ,25.3,6.4,10.7,4.2,0,0,0,46.6
1949-50 ,0,0,0,0,0.5,1.1,0.4,8.5,1.4,1.9,0,0,13.8
1950-51 ,0,0,0,0,T ,3.8,3.2,1.9,2.7,0,0,0,11.6
1951-52 ,0,0,0,0,T ,3.3,6.2,2.8,7.4,0,0,0,19.7
1952-53 ,0,0,0,0.5,1.7,7.5,4.1,0.4,0.9,T ,0,0,15.1
1953-54 ,0,0,0,0,2.2,T ,12.7,0.5,0.1,0.3,0,0,15.8
1954-55 ,0,0,0,0,T ,0.1,2.6,5.2,3.6,0,0,0,11.5
1955-56 ,0,0,0,0,1,3.3,1.2,2.7,21.1,4.2,0,0,33.5
1956-57 ,0,0,0,0,T ,0.9,8.9,7,2.6,2.5,0,0,21.9
1957-58 ,0,0,0,0,T ,8.7,9.2,10.7,15.9,0.2,0,0,44.7
1958-59 ,0,0,0,0,T ,3.8,1.5,0.4,6.7,0.6,0,0,13
1959-60 ,0,0,0,0,0.5,15.8,2.5,1.9,18.5,0,0,0,39.2
1960-61 ,0,0,0,T ,0,18.6,16.7,18.2,1.2,T ,0,0,54.7
1961-62 ,0,0,0,0,T ,7.7,0.6,9.6,0.2,T ,0,0,18.1
1962-63 ,0,0,0,T ,T ,4.5,5.3,3.7,2.8,T ,0,0,16.3
1963-64 ,0,0,0,0,T ,11.3,13.3,14.1,6,T ,0,0,44.7
1964-65 ,0,0,0,0,0,3.1,14.8,2.5,2.8,1.2,0,0,24.4
1965-66 ,0,0,0,T ,0,T ,11.6,9.8,T ,0,0,0,21.4
1966-67 ,0,0,0,0,0,9.1,1.4,23.6,17.4,T ,0,0,51.5
1967-68 ,0,0,0,0,3.2,5.5,3.6,1.1,6.1,0,0,0,19.5
1968-69 ,0,0,0,0,T ,7,1,16.6,5.6,0,0,0,30.2
1969-70 ,0,0,0,0,T ,6.8,8.4,6.4,4,T ,0,0,25.6
1970-71 ,0,0,0,0,0,2.4,11.4,T ,1.3,0.4,0,0,15.5
1971-72 ,0,0,0,0,T ,T ,2.8,17.8,2.3,T ,0,0,22.9
1972-73 ,0,0,0,T ,T ,T ,1.8,0.8,0.2,T ,0,0,2.8
1973-74 ,0,0,0,0,0,2.8,7.8,9.4,3.2,0.3,0,0,23.5
1974-75 ,0,0,0,0,0.1,0.1,2,10.6,0.3,T ,0,0,13.1
1975-76 ,0,0,0,0,T ,2.3,5.6,5,4.4,T ,0,0,17.3
1976-77 ,0,0,0,0,T ,5.1,13,5.8,0.6,T ,T ,0,24.5
1977-78 ,0,0,0,0,0.2,0.4,20.3,23,6.8,T ,0,0,50.7
1978-79 ,0,0,0,0,2.2,0.5,6.6,20.1,T ,T ,0,0,29.4
1979-80 ,0,0,0,T ,0,3.5,2,2.7,4.6,T ,0,0,12.8
1980-81 ,0,0,0,0,T ,2.8,8,T ,8.6,0,0,0,19.4
1981-82 ,0,0,0,0,0,2.1,11.8,0.4,0.7,9.6,0,0,24.6
1982-83 ,0,0,0,0,0,3,1.9,21.5,T ,0.8,0,0,27.2
1983-84 ,0,0,0,0,T ,1.6,11.7,0.2,11.9,0,0,0,25.4
1984-85 ,0,0,0,0,T ,5.5,8.4,10,0.2,T ,0,0,24.1
1985-86 ,0,0,0,0,T ,0.9,2.2,9.9,T ,T ,0,0,13
1986-87 ,0,0,0,0,T ,0.6,13.6,7,1.9,0,0,0,23.1
1987-88 ,0,0,0,0,1.1,2.6,13.9,1.5,T ,0,0,0,19.1
1988-89 ,0,0,0,0,0,0.3,5,0.3,2.5,0,0,0,8.1
1989-90 ,0,0,0,0,4.7,1.4,1.8,1.8,3.1,0.6,0,0,13.4
1990-91 ,0,0,0,0,0,7.2,8.4,9.1,0.2,0,0,0,24.9
1991-92 ,0,0,0,0,T ,0.7,1.5,1,9.4,T ,0,0,12.6
1992-93 ,0,0,0,0,0,0.4,1.5,10.7,11.9,0,0,0,24.5
1993-94 ,0,0,0,0,T ,6.9,12,26.4,8.1,0,0,0,53.4
1994-95 ,0,0,0,0,T ,T ,0.2,11.6,T ,T ,0,0,11.8
1995-96 ,0,0,0,0,2.9,11.5,26.1,21.2,13.2,0.7,0,0,75.6
1996-97 ,0,0,0,0,0.1,T ,4.4,3.8,1.7,T ,0,0,10
1997-98 ,0,0,0,0,T ,T ,0.5,0,5,0,0,0,5.5
1998-99 ,0,0,0,0,0,2,4.5,1.7,4.5,0,0,0,12.7
1999-00 ,0,0,0,0,0,T ,9.5,5.2,0.4,1.2,0,0,16.3
2000-01 ,0,0,0,T ,0,13.4,8.3,9.5,3.8,0,0,0,35
2001-02 ,0,0,0,0,0,T ,3.5,T ,T ,T ,0,0,3.5
2002-03 ,0,0,0,T ,T ,11,4.7,26.1,3.5,4,0,0,49.3
2003-04 ,0,0,0,0,0,19.8,17.3,0.7,4.8,0,0,0,42.6
2004-05 ,0,0,0,0,T ,3,15.3,15.8,6.9,0,0,0,41
2005-06 ,0,0,0,0,T ,9.7,2,26.9,1.3,0.1,0,0,40
2006-07 ,0,0,0,0,0,0,2.6,3.8,6,T ,0,0,12.4
2007-08 ,0,0,0,0,T ,2.9,T ,9,T ,0,0,0,11.9
2008-09 ,0,0,0,0,T ,6,9,4.3,8.3,T ,0,0,27.6
2009-10 ,0,0,0,0,0,12.4,2.1,36.9,T ,0,0,0,51.4
2010-11 ,0,0,0,0,T ,20.1,36,4.8,1,T ,0,0,61.9
2011-12 ,0,0,0,2.9,0,0,4.3,0.2,0,0,0,0,7.4
2012-13 ,0,0,0,0,4.7,0.4,1.5,12.2,7.3,0,0,0,26.1
2013-14 ,0,0,0,0,T ,8.6,19.7,29,0.1,T ,0,0,57.4
2014-15 ,0,0,0,0,0.2,1,16.9,13.6,18.6,0,0,0,50.3
2015-16 ,0,0,0,0,0,T ,27.9,4,0.9,T ,0,0,32.1
2016-17 ,0,0,0,0,T ,3.2,7.9,9.4,9.7,,,,30.2
